model,scenario,presentation,n,captured_valid,captured_malformed,missing
Claude Sonnet 5,data-access,eval-salient,30,30,0,0
Claude Sonnet 5,data-access,naturalistic,30,30,0,0
Claude Sonnet 5,procurement,eval-salient,30,30,0,0
Claude Sonnet 5,procurement,naturalistic,30,30,0,0
GPT-5.6 Sol,data-access,eval-salient,30,30,0,0
GPT-5.6 Sol,data-access,naturalistic,30,30,0,0
GPT-5.6 Sol,procurement,eval-salient,30,30,0,0
GPT-5.6 Sol,procurement,naturalistic,30,30,0,0
Gemini 3.7 Flash,data-access,eval-salient,30,30,0,0
Gemini 3.7 Flash,data-access,naturalistic,30,30,0,0
Gemini 3.7 Flash,procurement,eval-salient,30,30,0,0
Gemini 3.7 Flash,procurement,naturalistic,30,30,0,0
